TATA IPL 2025 Auction List-15.12.24,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Reserve
,,,,,,State,,,,,,,,,,,2024,2024,,
List Sr.No.,Set No.,2025 Set,First Name,Surname,Country,,DOB,Age,Specialism,,,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),,,C/U/A,Price Rs
,,,,,,Association,,,,,,,,,,,Team,IPL,,
,,,,,,,,,,,,,,,,,,,,Lakh
54,9,UAL1,Naman,Dhir,India,PCA,31/12/1999,25,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,7,MI,MI,7,Uncapped,30
55,9,UAL1,Mahipal,Lomror,India,RCA,16/11/1999,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,40,"RR,RCB",RCB,10,Uncapped,50
56,9,UAL1,Sameer,Rizvi,India,UPCA,06/12/2003,21,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,9,CSK,CSK,9,Uncapped,30
57,9,UAL1,Abdul,Samad,India,JKCA,28/10/2001,23,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,50,SRH,SRH,16,Uncapped,30
58,9,UAL1,Vijay,Shankar,India,TNCA,26/01/1991,34,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,72,"CSK,DC,SRH,GT",GT,7,Uncapped,30
59,9,UAL1,Ashutosh,Sharma,India,RSPB,15/09/1998,26,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,11,PBKS,PBKS,11,Uncapped,30
60,9,UAL1,Nishant,Sindhu,India,HCA,09/04/2004,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,0,CSK,CSK,0,Uncapped,30
61,9,UAL1,Utkarsh,Singh,India,JSCA,07/05/1998,26,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,0,PBKS,,,Uncapped,30
62,10,UWK1,Aryan,Juyal,India,UPCA,11/11/2001,23,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,,0,MI,,,Uncapped,30
63,10,UWK1,Kumar,Kushagra,India,JSCA,23/10/2004,20,WICKETKEEPER,RHB,,,,,0,GT,GT,0,Uncapped,30
64,10,UWK1,Robin,Minz,India,JSCA,13/09/2002,22,WICKETKEEPER,LHB,RIGHT ARM Off Spin,,,,0,GT,GT,0,Uncapped,30
65,10,UWK1,Anuj,Rawat,India,DDCA,17/10/1999,25,WICKETKEEPER,LHB,RIGHT ARM Leg Spin,,,,24,"RR,RCB",RCB,5,Uncapped,30
66,10,UWK1,Luvnith,Sisodia,India,KSCA,15/01/2000,25,WICKETKEEPER,LHB,,,,,0,RCB,,,Uncapped,30
